sample_id,defense,detection_threshold,accepted_after_attack,is_attack_detected,n_squeezers_detected,max_sim_diff,risk_score_add,lr_sim_original,lr_sim_squeezed,lr_sim_diff,lr_detected,cd_sim_original,cd_sim_squeezed,cd_sim_diff,cd_detected,mf_sim_original,mf_sim_squeezed,mf_sim_diff,mf_detected,defense_time_sec
vf_ea54843f0264,feature_squeezing,0.05,False,True,1,0.40597011,10,0.4593991,0.05342899,0.40597011,True,0.4593991,0.41163933,0.04775977,False,0.4593991,0.43395001,0.0254491,False,0.961429
vf_7d3bb72dda48,feature_squeezing,0.05,True,True,1,0.19215566,10,0.52593017,0.33377451,0.19215566,True,0.52593017,0.49408603,0.03184414,False,0.52593017,0.48502606,0.0409041,False,0.35263
vf_b5633cd5a05d,feature_squeezing,0.05,True,True,2,0.69833443,20,0.69783604,-0.00049839,0.69833443,True,0.69783604,0.65499949,0.04283655,False,0.69783604,0.64475137,0.05308467,True,0.372731
vf_4321f23cd7aa,feature_squeezing,0.05,False,True,3,0.35296961,30,0.46160468,0.10863508,0.35296961,True,0.46160468,0.39943665,0.06216803,True,0.46160468,0.40306816,0.05853653,True,0.337181
vf_de3be2e27d53,feature_squeezing,0.05,True,True,1,0.35748339,10,0.47983536,0.12235197,0.35748339,True,0.47983536,0.45326683,0.02656853,False,0.47983536,0.43540284,0.04443252,False,0.34689
vf_090fcb274067,feature_squeezing,0.05,True,True,1,0.23406729,10,0.50400639,0.26993909,0.23406729,True,0.50400639,0.46671608,0.0372903,False,0.50400639,0.46195441,0.04205197,False,0.335098
vf_72be6e8889a8,feature_squeezing,0.05,True,True,2,0.20721251,20,0.53382748,0.32661498,0.20721251,True,0.53382748,0.48242965,0.05139783,True,0.53382748,0.50439709,0.02943039,False,0.356686
vf_3229b831cddf,feature_squeezing,0.05,True,True,2,0.20478332,20,0.48770806,0.28292474,0.20478332,True,0.48770806,0.45284981,0.03485826,False,0.48770806,0.43341875,0.05428931,True,0.423134
vf_c5bf893fcfcd,feature_squeezing,0.05,False,True,2,0.28609037,20,0.47344941,0.18735904,0.28609037,True,0.47344941,0.44055265,0.03289676,False,0.47344941,0.4233332,0.05011621,True,0.398793
vf_c4edf24d3517,feature_squeezing,0.05,False,True,2,0.32654268,20,0.46921083,0.14266816,0.32654268,True,0.46921083,0.43248981,0.03672102,False,0.46921083,0.37409043,0.0951204,True,0.489429
