session_id,timestamp,account_id,source_identity,target_identity,attack_family,epsilon,similarity_before,similarity_after_attack,threshold_margin,accepted_after_attack,risk_score,risk_level,rule_hits,adv_file
faceauth_sess_001347,2026-06-28T22:50:39+09:00,acct_Hugo_Chavez,Junichiro_Koizumi,Hugo_Chavez,pgd,0.005,0.4715779423713684,0.8092575073242188,0.329595,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/pgd_adv_training/images/Junichiro_Koizumi_Junichiro_Koizumi_0017_to_Hugo_Chavez_Hugo_Chavez_0048_facenet_eps0.005_a0.001_s10.png
faceauth_sess_000095,2026-06-28T09:58:35+09:00,acct_Jean_Chretien,Donald_Rumsfeld,Jean_Chretien,pgd,0.005,0.4416871964931488,0.7802993655204773,0.300637,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/pgd_png/images/Donald_Rumsfeld_Donald_Rumsfeld_0036_to_Jean_Chretien_Jean_Chretien_0031_facenet_eps0.005_a0.001_s10.png
faceauth_sess_001295,2026-06-28T22:18:35+09:00,acct_Jean_Chretien,Donald_Rumsfeld,Jean_Chretien,pgd,0.005,0.4416871964931488,0.7802993655204773,0.300637,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/pgd_adv_training/images/Donald_Rumsfeld_Donald_Rumsfeld_0036_to_Jean_Chretien_Jean_Chretien_0031_facenet_eps0.005_a0.001_s10.png
faceauth_sess_001313,2026-06-28T22:29:41+09:00,acct_John_Ashcroft,Gerhard_Schroeder,John_Ashcroft,pgd,0.005,0.43925565481185913,0.7618148326873779,0.282152,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/pgd_adv_training/images/Gerhard_Schroeder_Gerhard_Schroeder_0036_to_John_Ashcroft_John_Ashcroft_0043_facenet_eps0.005_a0.001_s10.png
faceauth_sess_000004,2026-06-28T09:02:28+09:00,acct_George_W_Bush,Junichiro_Koizumi,George_W_Bush,pgd,0.005,0.31008633971214294,0.7457631230354309,0.266101,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/pgd_png/images/Junichiro_Koizumi_Junichiro_Koizumi_0017_to_George_W_Bush_George_W_Bush_0391_facenet_eps0.005_a0.001_s10.png
faceauth_sess_001204,2026-06-28T21:22:28+09:00,acct_George_W_Bush,Junichiro_Koizumi,George_W_Bush,pgd,0.005,0.31008633971214294,0.7457631230354309,0.266101,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/pgd_adv_training/images/Junichiro_Koizumi_Junichiro_Koizumi_0017_to_George_W_Bush_George_W_Bush_0391_facenet_eps0.005_a0.001_s10.png
faceauth_sess_001345,2026-06-28T22:49:25+09:00,acct_Jean_Chretien,Ariel_Sharon,Jean_Chretien,pgd,0.005,0.3556925654411316,0.7407965660095215,0.261134,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/pgd_adv_training/images/Ariel_Sharon_Ariel_Sharon_0025_to_Jean_Chretien_Jean_Chretien_0044_facenet_eps0.005_a0.001_s10.png
faceauth_sess_001341,2026-06-28T22:46:57+09:00,acct_Colin_Powell,George_W_Bush,Colin_Powell,pgd,0.005,0.3932805061340332,0.7401047348976135,0.260442,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/pgd_adv_training/images/George_W_Bush_George_W_Bush_0391_to_Colin_Powell_Colin_Powell_0051_facenet_eps0.005_a0.001_s10.png
faceauth_sess_000057,2026-06-28T09:35:09+09:00,acct_Colin_Powell,Tony_Blair,Colin_Powell,pgd,0.005,0.4403509497642517,0.72271728515625,0.243055,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/pgd_png/images/Tony_Blair_Tony_Blair_0104_to_Colin_Powell_Colin_Powell_0032_facenet_eps0.005_a0.001_s10.png
faceauth_sess_001257,2026-06-28T21:55:09+09:00,acct_Colin_Powell,Tony_Blair,Colin_Powell,pgd,0.005,0.4403509497642517,0.72271728515625,0.243055,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/pgd_adv_training/images/Tony_Blair_Tony_Blair_0104_to_Colin_Powell_Colin_Powell_0032_facenet_eps0.005_a0.001_s10.png
