session_id,attempt_id,timestamp,account_id,source_identity,target_identity,pair_id,attack,attack_family,is_adaptive,epsilon,alpha,steps,queries_used,similarity_before,similarity_after_attack,similarity_gain,threshold,threshold_margin,accepted_before,accepted_after_attack,attack_success_before_defense,defense,bypassed_defenses,similarity_after_defense,accepted_after_defense,defense_bypassed,strong_defense_bypassed,defense_success,defense_time_sec,l2,linf,time_sec,risk_score,risk_level,rule_hits,source_file,target_enroll_file,adv_file,perturbation_file
faceauth_sess_000001,vf_5abf8b510ee7,2026-06-28T09:00:37+09:00,acct_Tony_Blair,John_Ashcroft,Tony_Blair,pair_000002,targeted_pgd_facenet_verification,pgd,False,0.005,0.001,10,,0.25671204924583435,0.5181156396865845,0.2614035904407501,0.47966246581077576,0.038453,False,True,True,,,,False,False,False,False,,1.1535576581954956,0.005000025033950806,0.9495547200000374,60,high,FA-R005;FA-R006;FA-R008,data/processed/lfw_identity_10/test/John_Ashcroft/John_Ashcroft_0030.jpg,data/processed/lfw_identity_10/test/Tony_Blair/Tony_Blair_0051.jpg,outputs/verification_attacks_facenet/pgd_png/images/John_Ashcroft_John_Ashcroft_0030_to_Tony_Blair_Tony_Blair_0051_facenet_eps0.005_a0.001_s10.png,outputs/verification_attacks_facenet/pgd_png/perturbations/John_Ashcroft_John_Ashcroft_0030_to_Tony_Blair_Tony_Blair_0051_facenet_eps0.005_a0.001_s10_perturbation.png
faceauth_sess_000002,vf_d769d219615c,2026-06-28T09:01:14+09:00,acct_Colin_Powell,Tony_Blair,Colin_Powell,pair_000004,targeted_pgd_facenet_verification,pgd,False,0.005,0.001,10,,0.32303187251091003,0.5578231811523438,0.23479130864143372,0.47966246581077576,0.078161,False,True,True,,,,False,False,False,False,,1.183714747428894,0.005000025033950806,0.5047238970000762,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,data/processed/lfw_identity_10/test/Tony_Blair/Tony_Blair_0080.jpg,data/processed/lfw_identity_10/test/Colin_Powell/Colin_Powell_0218.jpg,outputs/verification_attacks_facenet/pgd_png/images/Tony_Blair_Tony_Blair_0080_to_Colin_Powell_Colin_Powell_0218_facenet_eps0.005_a0.001_s10.png,outputs/verification_attacks_facenet/pgd_png/perturbations/Tony_Blair_Tony_Blair_0080_to_Colin_Powell_Colin_Powell_0218_facenet_eps0.005_a0.001_s10_perturbation.png
faceauth_sess_000003,vf_90293020b82d,2026-06-28T09:01:51+09:00,acct_Jean_Chretien,George_W_Bush,Jean_Chretien,pair_000005,targeted_pgd_facenet_verification,pgd,False,0.005,0.001,10,,-0.048159029334783554,0.3374025821685791,0.38556161150336266,0.47966246581077576,-0.14226,False,False,False,,,,False,False,False,False,,1.1983078718185425,0.005000025033950806,0.5185087209999892,20,low,FA-R005;FA-R006,data/processed/lfw_identity_10/test/George_W_Bush/George_W_Bush_0473.jpg,data/processed/lfw_identity_10/test/Jean_Chretien/Jean_Chretien_0036.jpg,outputs/verification_attacks_facenet/pgd_png/images/George_W_Bush_George_W_Bush_0473_to_Jean_Chretien_Jean_Chretien_0036_facenet_eps0.005_a0.001_s10.png,outputs/verification_attacks_facenet/pgd_png/perturbations/George_W_Bush_George_W_Bush_0473_to_Jean_Chretien_Jean_Chretien_0036_facenet_eps0.005_a0.001_s10_perturbation.png
faceauth_sess_000004,vf_a070db2d6fde,2026-06-28T09:02:28+09:00,acct_George_W_Bush,Junichiro_Koizumi,George_W_Bush,pair_000007,targeted_pgd_facenet_verification,pgd,False,0.005,0.001,10,,0.31008633971214294,0.7457631230354309,0.43567678332328796,0.47966246581077576,0.266101,False,True,True,,,,False,False,False,False,,1.1683176755905151,0.005000025033950806,0.5028990239999303,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,data/processed/lfw_identity_10/test/Junichiro_Koizumi/Junichiro_Koizumi_0017.jpg,data/processed/lfw_identity_10/test/George_W_Bush/George_W_Bush_0391.jpg,outputs/verification_attacks_facenet/pgd_png/images/Junichiro_Koizumi_Junichiro_Koizumi_0017_to_George_W_Bush_George_W_Bush_0391_facenet_eps0.005_a0.001_s10.png,outputs/verification_attacks_facenet/pgd_png/perturbations/Junichiro_Koizumi_Junichiro_Koizumi_0017_to_George_W_Bush_George_W_Bush_0391_facenet_eps0.005_a0.001_s10_perturbation.png
faceauth_sess_000005,vf_b3bfebf71f8e,2026-06-28T09:03:05+09:00,acct_Junichiro_Koizumi,Tony_Blair,Junichiro_Koizumi,pair_000009,targeted_pgd_facenet_verification,pgd,False,0.005,0.001,10,,0.23096579313278198,0.49451398849487305,0.26354819536209106,0.47966246581077576,0.014852,False,True,True,,,,False,False,False,False,,1.2254871129989624,0.005000025033950806,0.5000198249999812,68,high,FA-R002;FA-R005;FA-R006;FA-R008,data/processed/lfw_identity_10/test/Tony_Blair/Tony_Blair_0016.jpg,data/processed/lfw_identity_10/test/Junichiro_Koizumi/Junichiro_Koizumi_0047.jpg,outputs/verification_attacks_facenet/pgd_png/images/Tony_Blair_Tony_Blair_0016_to_Junichiro_Koizumi_Junichiro_Koizumi_0047_facenet_eps0.005_a0.001_s10.png,outputs/verification_attacks_facenet/pgd_png/perturbations/Tony_Blair_Tony_Blair_0016_to_Junichiro_Koizumi_Junichiro_Koizumi_0047_facenet_eps0.005_a0.001_s10_perturbation.png
faceauth_sess_000006,vf_8eca2caba8d7,2026-06-28T09:03:42+09:00,acct_Jean_Chretien,George_W_Bush,Jean_Chretien,pair_000011,targeted_pgd_facenet_verification,pgd,False,0.005,0.001,10,,0.08974314481019974,0.4105651378631592,0.32082199305295944,0.47966246581077576,-0.069097,False,False,False,,,,False,False,False,False,,1.2077505588531494,0.005000025033950806,0.5046832320000476,20,low,FA-R005;FA-R006,data/processed/lfw_identity_10/test/George_W_Bush/George_W_Bush_0251.jpg,data/processed/lfw_identity_10/test/Jean_Chretien/Jean_Chretien_0044.jpg,outputs/verification_attacks_facenet/pgd_png/images/George_W_Bush_George_W_Bush_0251_to_Jean_Chretien_Jean_Chretien_0044_facenet_eps0.005_a0.001_s10.png,outputs/verification_attacks_facenet/pgd_png/perturbations/George_W_Bush_George_W_Bush_0251_to_Jean_Chretien_Jean_Chretien_0044_facenet_eps0.005_a0.001_s10_perturbation.png
faceauth_sess_000007,vf_b37e611e75ae,2026-06-28T09:04:19+09:00,acct_Jean_Chretien,Junichiro_Koizumi,Jean_Chretien,pair_000015,targeted_pgd_facenet_verification,pgd,False,0.005,0.001,10,,-0.14001508057117462,0.10056424140930176,0.24057932198047638,0.47966246581077576,-0.379098,False,False,False,,,,False,False,False,False,,1.175681233406067,0.005000025033950806,0.5027835340000593,20,low,FA-R005;FA-R006,data/processed/lfw_identity_10/test/Junichiro_Koizumi/Junichiro_Koizumi_0058.jpg,data/processed/lfw_identity_10/test/Jean_Chretien/Jean_Chretien_0002.jpg,outputs/verification_attacks_facenet/pgd_png/images/Junichiro_Koizumi_Junichiro_Koizumi_0058_to_Jean_Chretien_Jean_Chretien_0002_facenet_eps0.005_a0.001_s10.png,outputs/verification_attacks_facenet/pgd_png/perturbations/Junichiro_Koizumi_Junichiro_Koizumi_0058_to_Jean_Chretien_Jean_Chretien_0002_facenet_eps0.005_a0.001_s10_perturbation.png
faceauth_sess_000008,vf_1c760e738599,2026-06-28T09:04:56+09:00,acct_Jean_Chretien,Gerhard_Schroeder,Jean_Chretien,pair_000017,targeted_pgd_facenet_verification,pgd,False,0.005,0.001,10,,0.20681104063987732,0.5092445611953735,0.3024335205554962,0.47966246581077576,0.029582,False,True,True,,,,False,False,False,False,,1.1765742301940918,0.005000025033950806,0.506949795999958,68,high,FA-R002;FA-R005;FA-R006;FA-R008,data/processed/lfw_identity_10/test/Gerhard_Schroeder/Gerhard_Schroeder_0074.jpg,data/processed/lfw_identity_10/test/Jean_Chretien/Jean_Chretien_0050.jpg,outputs/verification_attacks_facenet/pgd_png/images/Gerhard_Schroeder_Gerhard_Schroeder_0074_to_Jean_Chretien_Jean_Chretien_0050_facenet_eps0.005_a0.001_s10.png,outputs/verification_attacks_facenet/pgd_png/perturbations/Gerhard_Schroeder_Gerhard_Schroeder_0074_to_Jean_Chretien_Jean_Chretien_0050_facenet_eps0.005_a0.001_s10_perturbation.png
faceauth_sess_000009,vf_a2133e5cb6dd,2026-06-28T09:05:33+09:00,acct_Donald_Rumsfeld,Junichiro_Koizumi,Donald_Rumsfeld,pair_000019,targeted_pgd_facenet_verification,pgd,False,0.005,0.001,10,,-0.03523227572441101,0.18749016523361206,0.22272244095802307,0.47966246581077576,-0.292172,False,False,False,,,,False,False,False,False,,1.2256510257720947,0.005000025033950806,0.5026220539999713,20,low,FA-R005;FA-R006,data/processed/lfw_identity_10/test/Junichiro_Koizumi/Junichiro_Koizumi_0044.jpg,data/processed/lfw_identity_10/test/Donald_Rumsfeld/Donald_Rumsfeld_0062.jpg,outputs/verification_attacks_facenet/pgd_png/images/Junichiro_Koizumi_Junichiro_Koizumi_0044_to_Donald_Rumsfeld_Donald_Rumsfeld_0062_facenet_eps0.005_a0.001_s10.png,outputs/verification_attacks_facenet/pgd_png/perturbations/Junichiro_Koizumi_Junichiro_Koizumi_0044_to_Donald_Rumsfeld_Donald_Rumsfeld_0062_facenet_eps0.005_a0.001_s10_perturbation.png
faceauth_sess_000010,vf_0aa41a088ae0,2026-06-28T09:06:10+09:00,acct_Ariel_Sharon,George_W_Bush,Ariel_Sharon,pair_000021,targeted_pgd_facenet_verification,pgd,False,0.005,0.001,10,,-0.13453172147274017,0.1865043044090271,0.3210360258817673,0.47966246581077576,-0.293158,False,False,False,,,,False,False,False,False,,1.1909466981887817,0.005000025033950806,0.49817080500008615,20,low,FA-R005;FA-R006,data/processed/lfw_identity_10/test/George_W_Bush/George_W_Bush_0195.jpg,data/processed/lfw_identity_10/test/Ariel_Sharon/Ariel_Sharon_0069.jpg,outputs/verification_attacks_facenet/pgd_png/images/George_W_Bush_George_W_Bush_0195_to_Ariel_Sharon_Ariel_Sharon_0069_facenet_eps0.005_a0.001_s10.png,outputs/verification_attacks_facenet/pgd_png/perturbations/George_W_Bush_George_W_Bush_0195_to_Ariel_Sharon_Ariel_Sharon_0069_facenet_eps0.005_a0.001_s10_perturbation.png
